source,target,value
Programming Languages,Javascript [node.js],0
Programming Languages,Javascript [browser],0
Programming Languages,C,0
Programming Languages,C++,0
Programming Languages,Java,0
Programming Languages,Kotlin,0
Programming Languages,Objective-C,0
Programming Languages,Swift,0
Programming Languages,PHP,0
Programming Languages,Python,0
Programming Languages,Perl,0
Programming Languages,Go,0
Programming Languages,C#,0
Programming Languages,Bash,0
Leadership,Strategic Planning,0
Leadership,Team Building,0
Leadership,Team Leadership,0
Leadership,Procedure Development,0
Leadership,Process Improvement,0
Leadership,Product Development,0
Leadership,Entrepreneurship,0
Leadership,Budgeting / Financial Planning,0
Software Engineering,Best Practices,0
Software Engineering,Entrepreneurship,0
Software Engineering,Software Development,0
Software Engineering,Microservices Architecture,0
Software Engineering,Scrum / Agile,0
Software Engineering,Mobile Application Development,0
Software Engineering,Cloud Services,0
Software Engineering,Service Integration,0